cluster_hard_2.7,mu_2.7_0,mu_2.7_1,mu_2.7_2,_maxu,_second,_margin
0,0.3533192376354183,0.3436625020096004,0.3030182603549813,0.3533192376354183,0.3436625020096004,0.00965673562581787
1,0.3543811592363274,0.3563919371168693,0.2892269036468032,0.3563919371168693,0.3543811592363274,0.0020107778805418808
0,0.3678852280685868,0.3036834637673961,0.3284313081640171,0.3678852280685868,0.3284313081640171,0.0394539199045697
1,0.3460007440285659,0.372096632034073,0.2819026239373611,0.372096632034073,0.3460007440285659,0.026095888005507106
2,0.3605868407229081,0.2643366873841661,0.3750764718929257,0.3750764718929257,0.3605868407229081,0.014489631170017614
1,0.3393644421409067,0.3795544385179988,0.2810811193410944,0.3795544385179988,0.3393644421409067,0.040189996377092085
0,0.381787058386464,0.2910775456065462,0.3271353960069897,0.381787058386464,0.3271353960069897,0.054651662379474275
1,0.3413595556460712,0.38434465874183,0.2742957856120987,0.38434465874183,0.3413595556460712,0.042985103095758814
0,0.3878282388239382,0.2827441840003279,0.3294275771757339,0.3878282388239382,0.3294275771757339,0.05840066164820429
2,0.3889837926602362,0.2203945025715699,0.3906217047681939,0.3906217047681939,0.3889837926602362,0.0016379121079577175
0,0.3941536150413563,0.2776473063353126,0.3281990786233311,0.3941536150413563,0.3281990786233311,0.06595453641802523
0,0.3953712229729897,0.2764095852873917,0.3282191917396185,0.3953712229729897,0.3282191917396185,0.06715203123337121
2,0.3858380557243887,0.2176415755149297,0.3965203687606816,0.3965203687606816,0.3858380557243887,0.010682313036292912
0,0.3982687016917608,0.2170455819964191,0.3846857163118201,0.3982687016917608,0.3846857163118201,0.013582985379940737
0,0.3983843136821999,0.2747420876033271,0.3268735987144729,0.3983843136821999,0.3268735987144729,0.07151071496772698
0,0.3986649460284567,0.2730731477816934,0.3282619061898499,0.3986649460284567,0.3282619061898499,0.0704030398386068
0,0.3998872954321475,0.2106202858453977,0.3894924187224547,0.3998872954321475,0.3894924187224547,0.010394876709692802
1,0.3233608894647122,0.4005739400117031,0.2760651705235845,0.4005739400117031,0.3233608894647122,0.0772130505469909
0,0.4022195542125157,0.2703375721479324,0.3274428736395517,0.4022195542125157,0.3274428736395517,0.074776680572964
0,0.4049126755023904,0.2696282372660576,0.325459087231552,0.4049126755023904,0.325459087231552,0.07945358827083843
0,0.4060058816245367,0.2039737498386358,0.3900203685368274,0.4060058816245367,0.3900203685368274,0.01598551308770929
0,0.4073275805546505,0.2667210614159169,0.3259513580294325,0.4073275805546505,0.3259513580294325,0.08137622252521803
0,0.4082956061032462,0.1968564541573682,0.3948479397393855,0.4082956061032462,0.3948479397393855,0.013447666363860744
0,0.4083988957341471,0.2638544184704761,0.3277466857953767,0.4083988957341471,0.3277466857953767,0.08065220993877042
2,0.3773607248953075,0.2138557773430319,0.4087834977616604,0.4087834977616604,0.3773607248953075,0.03142277286635292
2,0.4050110688754874,0.1850239813527499,0.4099649497717625,0.4099649497717625,0.4050110688754874,0.004953880896275131
1,0.3126223892322853,0.4127812685384127,0.2745963422293019,0.4127812685384127,0.3126223892322853,0.10015887930612738
0,0.4132380655390157,0.192519777413431,0.3942421570475532,0.4132380655390157,0.3942421570475532,0.018995908491462488
0,0.4156279716115528,0.1939340806029387,0.3904379477855083,0.4156279716115528,0.3904379477855083,0.025190023826044516
0,0.4169944393596999,0.2174877477237646,0.3655178129165355,0.4169944393596999,0.3655178129165355,0.051476626443164364
0,0.4170272478398493,0.2563164603923112,0.3266562917678393,0.4170272478398493,0.3266562917678393,0.09037095607201001
0,0.4179670924715083,0.1811147106987032,0.4009181968297884,0.4179670924715083,0.4009181968297884,0.017048895641719908
0,0.4181246932594467,0.1811729574079243,0.4007023493326289,0.4181246932594467,0.4007023493326289,0.017422343926817796
0,0.4203952357670624,0.218413602815613,0.3611911614173245,0.4203952357670624,0.3611911614173245,0.0592040743497379
0,0.420648144853238,0.2553466569833698,0.3240051981633922,0.420648144853238,0.3240051981633922,0.0966429466898458
0,0.4223585094766595,0.2538434041968309,0.3237980863265096,0.4223585094766595,0.3237980863265096,0.0985604231501499
0,0.422930363260167,0.2492282637745561,0.327841372965277,0.422930363260167,0.327841372965277,0.09508899029488999
0,0.4245116843098921,0.1754545293790792,0.4000337863110287,0.4245116843098921,0.4000337863110287,0.024477897998863407
0,0.4248998501948695,0.1760941839414245,0.3990059658637058,0.4248998501948695,0.3990059658637058,0.025893884331163686
2,0.3828635431748676,0.1922178742673933,0.424918582557739,0.424918582557739,0.3828635431748676,0.04205503938287142
2,0.3808610334463362,0.194001093303561,0.4251378732501027,0.4251378732501027,0.3808610334463362,0.04427683980376651
0,0.425195925340643,0.200141717390846,0.374662357268511,0.425195925340643,0.374662357268511,0.050533568072131996
0,0.4264022380356044,0.2480645799503061,0.3255331820140894,0.4264022380356044,0.3255331820140894,0.10086905602151502
0,0.4286721856966971,0.244799032347373,0.32652878195593,0.4286721856966971,0.32652878195593,0.10214340374076708
0,0.4293530372198471,0.2456614522671449,0.324985510513008,0.4293530372198471,0.324985510513008,0.10436752670683908
0,0.42953327233424,0.1697185745403511,0.4007481531254088,0.42953327233424,0.4007481531254088,0.0287851192088312
0,0.4299176678015104,0.1942083259708302,0.3758740062276593,0.4299176678015104,0.3758740062276593,0.0540436615738511
0,0.4299883305746333,0.1873263233467348,0.3826853460786319,0.4299883305746333,0.3826853460786319,0.0473029844960014
0,0.4300078071612023,0.2410552181638158,0.3289369746749818,0.4300078071612023,0.3289369746749818,0.10107083248622051
0,0.4315338851905973,0.2426155057976196,0.325850609011783,0.4315338851905973,0.325850609011783,0.10568327617881434
2,0.4124832950400096,0.1557520682486848,0.4317646367113056,0.4317646367113056,0.4124832950400096,0.019281341671296026
0,0.4317703995779536,0.2420396569924515,0.3261899434295948,0.4317703995779536,0.3261899434295948,0.10558045614835881
0,0.4323243597950865,0.2423190417349209,0.3253565984699924,0.4323243597950865,0.3253565984699924,0.10696776132509411
0,0.4326307480095585,0.2167805850640811,0.3505886669263603,0.4326307480095585,0.3505886669263603,0.08204208108319816
0,0.4335932501768835,0.2403743378189898,0.3260324120041267,0.4335932501768835,0.3260324120041267,0.1075608381727568
0,0.4337165187570407,0.2387563764302617,0.3275271048126975,0.4337165187570407,0.3275271048126975,0.10618941394434323
0,0.4343131996514117,0.2390989871659945,0.3265878131825937,0.4343131996514117,0.3265878131825937,0.10772538646881796
0,0.4350236864988932,0.168541589541639,0.3964347239594677,0.4350236864988932,0.3964347239594677,0.03858896253942551
0,0.4351688593637978,0.2402948411707091,0.324536299465493,0.4351688593637978,0.324536299465493,0.11063255989830478
0,0.4354023734297689,0.239513871246812,0.3250837553234191,0.4354023734297689,0.3250837553234191,0.1103186181063498
0,0.4358806390777223,0.2378446205070249,0.3262747404152528,0.4358806390777223,0.3262747404152528,0.1096058986624695
0,0.4359794859742601,0.2369537013535888,0.3270668126721511,0.4359794859742601,0.3270668126721511,0.10891267330210902
0,0.4360463154805249,0.2375197939355424,0.3264338905839326,0.4360463154805249,0.3264338905839326,0.10961242489659234
2,0.3839247491705531,0.1799108268287444,0.4361644240007025,0.4361644240007025,0.3839247491705531,0.05223967483014941
0,0.4363740942588462,0.1936782670210795,0.3699476387200742,0.4363740942588462,0.3699476387200742,0.06642645553877202
0,0.4365024320294256,0.1674208769222082,0.3960766910483662,0.4365024320294256,0.3960766910483662,0.040425740981059444
