ALL_Uniq,Name_USGSO,Shape_Leng,IslandArea,Population,Population_density,evi,wind_power,wind_std,offshore_wind_potential,gdp_2019,ec_2019,geothermal_potential,hydro_potential,mean_temperature,total_precipitation,hdd,cdd,solar_power,solar_seas_ind,urban_area,urban_area_rel,res_area,elevation_max
87884,Canchimalero,27903.9261887,22.8083031534,3654,160.2048155632,3972.8904182342976,15.702017726351968,0.515124516614127,0.0,5.063416481018066,255571.609375,0.0,211991.0,25.941528434539407,2.3644591935444623,0.0,1797.3128140767433,3.727749824523926,1.1789261102676392,0.28234835129507724,1.2376626962863477,52.013813497940994,55.0
87889,Sanquiamba,94261.9398742,46.5584215134,234,5.025943586439079,3610.7322900329655,36.86382394373759,0.5879909057865711,0.0,9.970328330993652,978660.25,0.0,0.0,26.234551747639955,6.057586478069425,0.0,1910.6751327514648,3.5742411613464355,1.2502228021621704,0.0,0.0,23.740433418854117,46.0
87891,Mulato,54096.9966459,31.1130060569,428,13.756304974751274,3655.2211775651895,35.68735012318914,0.5593156854467947,0.0,6.744634628295898,671916.0625,0.0,0.0,26.211966105892827,6.057586478069425,0.0,1910.6751327514648,3.6013271808624268,1.2498620748519897,0.0,0.0,5.781701247943007,32.0
87949,Ilha São Domingos,116235.637185,198.919615701,1524,7.661386206832184,5134.491066417762,4.45454044518996,0.5089731239169871,0.0,30.611839294433594,5292873.0,0.0,4673456.0,27.45457314158142,2.4693865024244355,0.0,2359.129318714142,4.290130138397217,1.383556842803955,0.0,0.0,1.498010984225424,40.0
87950,Ilha Mandi,8189.02204136,3.28166862723,127,38.699824517991786,4447.777005147664,17.739198051936427,0.5758508169450116,0.0,1.2293912172317505,212565.1875,0.0,0.0,27.612637201945006,2.57006185175851,0.0,2416.0184631347656,4.662818431854248,1.3639495372772217,0.0,0.0,10.785994461474962,29.0
87952,Ilha Buiuçu,121063.104793,148.985679889,9526,63.9390309665817,5221.246635554042,4.138565557959819,0.5268390084274849,0.0,133.0867462158203,21172306.0,0.0,1770390.0,27.459991115458877,2.465288743619264,0.0,2360.662072499592,4.289941310882568,1.3819330930709839,0.44608602335438347,0.3005542951413051,61.32052248248465,40.0
87954,Ilha Santarém,37954.6385802,43.0653553634,1658,38.499624257346454,5305.591653808823,7.206286548574157,0.6180713420871364,0.0,7.745164394378662,1339160.5,0.0,289953.0,27.463478724161803,2.7871482097543776,0.0,2361.729965209961,4.51971435546875,1.3868876695632935,0.0,0.0,17.433926714231553,54.0
87955,Ilha Sirituba,177352.556027,217.025451953,12131,55.8966696801403,5335.735677846134,18.227029852096738,0.5550328980250512,0.0,35.04350280761719,6059119.0,0.0,2251313.0,27.344583343021498,2.5590691602235465,0.0,2315.736848471808,4.415813446044922,1.3466302156448364,0.0,0.0,17.302066132439524,74.0
87957,Ilha de Palhêta,86908.0399765,117.67902839,3967,33.71033950801299,4934.656495672837,15.689162095229339,0.5837481484330117,0.0,21.932418823242188,3784853.0,0.0,1929819.0,27.544355003239332,2.6896240126474624,0.0,2390.167952401284,4.4370880126953125,1.391250729560852,0.03564599797870938,0.030438213090966344,16.346995374952776,42.0
87961,Ilha do Comandaí,99559.4084157,256.640580258,620,2.4158299493272493,4674.927026687248,6.853757190066145,0.4746530036139589,0.0,37.988189697265625,6568263.5,48.0,3595973.0,27.349265009981707,2.040583652478677,0.0,2316.270450827526,4.408220291137695,1.343549132347107,0.0,0.0,49.85959682656454,41.0
87962,Ilha Gurupaí,57418.5306368,67.524079721,114,1.6882866152494334,4728.333927309549,5.098963746954939,0.5173244054365934,0.0,12.908607482910156,2231934.25,0.0,1542631.0,27.534014213429998,2.357463745865971,0.0,2383.9574388202914,4.349583148956299,1.387078046798706,0.0,0.0,12.982825516444427,38.0
87963,Ilha de Santana,32898.323352,47.7322268776,1537,32.20046707523907,5384.132016663334,21.592071273111028,0.5423691526305129,0.0,8.236921310424805,1424186.625,0.0,2254817.0,27.389602372430886,3.1236123078001237,0.0,2327.905817472019,4.524807453155518,1.402251124382019,0.0,0.0,88.14347729729894,35.0
87964,Ilha Grande de Taiaçuí,44365.9370707,58.1613350814,201,3.4559041624249067,4595.876262332762,5.392930812268795,0.5235982958093122,0.0,10.449825286865234,1806803.875,0.0,530853.0,27.502364375558102,2.017893258704465,0.0,2375.4354154413386,4.242980003356934,1.3731627464294434,0.0,0.0,25.807363138961172,69.0
87965,Ilha dos Macacos,373119.895387,886.213964026,6616,7.4654657549561,5088.351014410136,4.974365307579066,0.5937727470532091,0.0,126.91160583496094,21943374.0,0.0,25384677.0,27.403493407204223,2.5216401724125745,0.0,2339.535613024185,4.1749725341796875,1.406076192855835,0.0,0.0,72.95062941714578,44.0
87969,Ilha Tapuia,79439.9746311,155.5285613,1059,6.809038745991409,5048.185007818608,4.848339580038677,0.5759950702789521,0.0,23.727249145507812,4102507.75,121.0,6040003.0,27.408501428615352,2.5690397460206924,0.0,2341.379451892983,4.140655040740967,1.4534592628479004,0.0,0.0,1.0786139512099573,51.0
87971,Ilha Ituquara,83454.5282343,270.230772931,1743,6.450042610228751,4984.0657606923005,4.781982922961694,0.5243781484072557,0.0,39.70933532714844,6865855.0,0.0,10562789.0,27.45636853551713,2.5957010173973774,0.0,2359.120935738805,4.159219741821289,1.4467600584030151,0.0,0.0,18.621218898496572,68.0
