,count,mean,std,min,5%,25%,50%,75%,95%,max
max_membership,1233.0,0.5606130469852781,0.0982132947382,0.3448847233334978,0.411589870670626,0.4802374508846879,0.5603407954324263,0.6359880013644397,0.720871804907829,0.8598673021152136
second_membership,1233.0,0.2918097333505101,0.0842898609126879,0.0702783740666918,0.14039520245075918,0.2304610932304973,0.3138022907901343,0.3554088043202366,0.4005202855994587,0.4512886880027671
margin,1233.0,0.268803313634768,0.17575405031328747,0.00033556175754850814,0.03559140492539923,0.10805267299429627,0.25818652008085385,0.3956627595619717,0.580450972460317,0.7895889280485218
ratio,1233.0,2.287869351155222,1.3771557988160612,1.0007666246478732,1.095123760837094,1.2974102263009746,1.8300757404133547,2.631983518725034,5.12661158638911,12.235162146739887
